User,Handle,Category,Channel
BuzzFeed,@BuzzFeed,News,Viral
ViralVideosNews,@ViralVideosNews,News,Viral
hypervocal,@hypervocal,News,Viral
ninemsn Pickle,@ninemsnpickle,News,Viral
Mashable Video,@mashablevideo,News,Viral
TMZ ,@TmzViralPosts,News,Viral
Huffington Post ,@HuffingtonPost,News,Viral
DRUDGE REPORT ,@DRUDGE_REPORT,News,Viral
TheBlaze ,@theblaze,News,Viral
IJReview ,@ijreview,News,Viral
CNN Breaking News,@cnnbrk,News,U.S.
U.S. News,@usnews,News,U.S.
The New York Times,@nytimes,News,U.S.
Washington Post,@washingtonpost,News,U.S.
CNN ,@CNN,News,U.S.
Wall Street Journal ,@WSJ,News,U.S.
Reuters U.S. News ,@ReutersUS,News,U.S.
Fox News,@FoxNews,News,U.S.
msnbc ,@msnbc,News,U.S.
Yahoo News ,@YahooNews,News,U.S.
BBC News  World  ,@BBCWorld,News,World
Reuters Top News,@Reuters,News,World
The Economist,@TheEconomist,News,World
BBC Breaking News,@BBCBreaking,News,World
The Associated Press,@AP,News,World
Telegraph World News,@TelegraphWorld,News,World
TIME.com ,@TIME,News,World
ABC Foreign Desk,@WorldNews,News,World
Breaking News,@BreakingNews,News,World
New York Times World,@nytimesworld,News,World
WSJ World News,@WSJworld,News,World
Post World,@PostWorldNews,News,World
Al Jazeera English,@AJEnglish,News,World
Barack Obama,@BarackObama,Politics,People
Rachel Maddow MSNBC ,@maddow,Politics,People
Bill Maher ,@billmaher,Politics,People
Rick Santorum ,@RickSantorum,Politics,People
Hillary Clinton ,@HillaryClinton,Politics,People
Ted Cruz,@tedcruz,Politics,People
Dr. Rand Paul,@RandPaul,Politics,People
Dr. Ben Carson,@RealBenCarson,Politics,People
Gov. Mike Huckabee,@GovMikeHuckabee,Politics,People
Bernie Sanders,@SenSanders,Politics,People
Martin O'Malley ,@GovernorOMalley,Politics,People
Jeb Bush,@JebBush,Politics,People
Marco Rubio ,@marcorubio,Politics,People
Chris Christie,@ChrisChristie,Politics,People
Rick Perry,@GovernorPerry,Politics,People
Philip Klein,@philipaklein,Politics,People
Byron York ,@ByronYork,Politics,People
Timothy P Carney,@TPCarney,Politics,People
Rush Limbaugh,@rushlimbaugh,Politics,People
Morning Joe,@Morning_Joe,Politics,People
Lawrence O'Donnell,@Lawrence,Politics,People
Brit Hume,@brithume,Politics,People
Megyn Kelly,@megynkelly,Politics,People
Donna Brazile,@donnabrazile,Politics,People
Chuck Todd,@chucktodd,Politics,People
Nick Gillespie,@nickgillespie,Politics,People
Bret Baier,@BretBaier,Politics,People
Ezra Klein,@ezraklein,Politics,People
Melissa Harris-Perry ,@MHarrisPerry,Politics,People
morningmika,@morningmika,Politics,People
rolandsmartin,@rolandsmartin,Politics,People
David Corn,@DavidCornDC,Politics,People
Anderson Cooper,@andersoncooper,Politics,People
Matt Mackowiak,@MattMackowiak,Politics,People
Michelle Malkin,@michellemalkin,Politics,People
Dylan Byers,@DylanByers,Politics,People
Burgess Everett ,@burgessev,Politics,People
daveweigel,@daveweigel,Politics,People
Matt Lewis,‏@mattklewis,Politics,People
Tony Romm ,@TonyRomm,Politics,People
The Hill ,@thehill,Politics,Outlets
HuffPost Politics ,@HuffPostPol,Politics,Outlets
CNN Politics ,@CNNPolitics,Politics,Outlets
Fox News Politics,@foxnewspolitics,Politics,Outlets
